Fiscal Year,Service,Department Name,Division Name,Category,Description,Amount,Fund
2011,General Government,Finance,Purchasing,Salaries and Wages,Health Insurance,101680.00,General Fund
2011,General Government,Finance,Purchasing,Salaries and Wages,Longevity Salaries\Wages,2000.00,General Fund
2011,General Government,Finance,Purchasing,Salaries and Wages,Medicare,5975.00,General Fund
2011,General Government,Finance,Purchasing,Salaries and Wages,Misc. Additional Comp,4725.00,General Fund
2011,General Government,Finance,Purchasing,Salaries and Wages,Pensions,59500.00,General Fund
2011,General Government,Finance,Purchasing,Salaries and Wages,Permanent Salaries/Wages,466160.00,General Fund
2011,General Government,Finance,Purchasing,Salaries and Wages,Temporary Salaries/Wages,15000.00,General Fund
2011,General Government,Finance,Purchasing,Other Ordinary Maintenance,Administration & Gen Supplies,4185.00,General Fund
2011,General Government,Finance,Purchasing,Other Ordinary Maintenance,Communication,8800.00,General Fund
2011,General Government,Finance,Purchasing,Other Ordinary Maintenance,Food and Food Service Supplies,380.00,General Fund
2011,General Government,Finance,Purchasing,Other Ordinary Maintenance,Other Purchased Services,1200.00,General Fund
2011,General Government,Finance,Purchasing,Other Ordinary Maintenance,Other Supplies,2740.00,General Fund
2011,General Government,Finance,Purchasing,Other Ordinary Maintenance,Professional and Technical Services,5000.00,General Fund
2011,General Government,Finance,Purchasing,Travel and Training,Dues & Subscriptions,850.00,General Fund
2011,General Government,Finance,Purchasing,Travel and Training,Travel and Training  (Out of State),1045.00,General Fund
2011,General Government,Finance,Auditing,Salaries and Wages,Dental Insurance,9960.00,General Fund
2011,General Government,Finance,Auditing,Salaries and Wages,Health Insurance,139730.00,General Fund
2011,General Government,Finance,Auditing,Salaries and Wages,Longevity Salaries\Wages,3250.00,General Fund
2011,General Government,Finance,Auditing,Salaries and Wages,Medicare,7090.00,General Fund
2011,General Government,Finance,Auditing,Salaries and Wages,Misc. Additional Comp,6300.00,General Fund
2011,General Government,Finance,Auditing,Salaries and Wages,Pensions,68000.00,General Fund
2011,General Government,Finance,Auditing,Salaries and Wages,Permanent Salaries/Wages,566805.00,General Fund
2011,General Government,Finance,Auditing,Other Ordinary Maintenance,Administration & Gen Supplies,4500.00,General Fund
2011,General Government,Finance,Auditing,Other Ordinary Maintenance,Other Supplies,1800.00,General Fund
2011,General Government,Finance,Auditing,Travel and Training,Dues & Subscriptions,500.00,General Fund
2011,General Government,Finance,Auditing,Travel and Training,Travel and Training  (Out of State),1125.00,General Fund
2011,General Government,Finance,Auditing,Travel and Training,Travel and Training  (In State),500.00,General Fund
2011,General Government,Finance,Revenue,Salaries and Wages,Dental Insurance,9960.00,General Fund
2011,General Government,Finance,Revenue,Salaries and Wages,Health Insurance,154700.00,General Fund
2011,General Government,Finance,Revenue,Salaries and Wages,Longevity Salaries\Wages,3600.00,General Fund
2011,General Government,Finance,Revenue,Salaries and Wages,Medicare,6235.00,General Fund
2011,General Government,Finance,Revenue,Salaries and Wages,Misc. Additional Comp,6300.00,General Fund
2011,General Government,Finance,Revenue,Salaries and Wages,Pensions,68000.00,General Fund
2011,General Government,Finance,Revenue,Salaries and Wages,Permanent Salaries/Wages,560005.00,General Fund
2011,General Government,Finance,Revenue,Salaries and Wages,Temporary Salaries/Wages,30000.00,General Fund
2011,General Government,Finance,Revenue,Other Ordinary Maintenance,Administration & Gen Supplies,13500.00,General Fund
2011,General Government,Finance,Revenue,Other Ordinary Maintenance,Communication,41800.00,General Fund
2011,General Government,Finance,Revenue,Other Ordinary Maintenance,Other Purchased Services,67000.00,General Fund
2011,General Government,Finance,Revenue,Other Ordinary Maintenance,Professional and Technical Services,70000.00,General Fund
2011,General Government,Finance,Revenue,Travel and Training,Dues & Subscriptions,1000.00,General Fund
2011,General Government,Finance,Revenue,Travel and Training,Travel and Training  (In State),500.00,General Fund
2011,General Government,Finance,Treasury,Salaries and Wages,Dental Insurance,6250.00,General Fund
2011,General Government,Finance,Treasury,Salaries and Wages,Health Insurance,100430.00,General Fund
2011,General Government,Finance,Treasury,Salaries and Wages,Longevity Salaries\Wages,4000.00,General Fund
2011,General Government,Finance,Treasury,Salaries and Wages,Medicare,950.00,General Fund
2011,General Government,Finance,Treasury,Salaries and Wages,Misc. Additional Comp,3900.00,General Fund
2011,General Government,Finance,Treasury,Salaries and Wages,Pensions,42500.00,General Fund
2011,General Government,Finance,Treasury,Salaries and Wages,Permanent Salaries/Wages,306730.00,General Fund
2011,General Government,Finance,Treasury,Other Ordinary Maintenance,Administration & Gen Supplies,22600.00,General Fund
2011,General Government,Finance,Treasury,Other Ordinary Maintenance,Other Purchased Services,145000.00,General Fund
2011,General Government,Finance,Treasury,Other Ordinary Maintenance,Professional and Technical Services,5000.00,General Fund
2011,General Government,Finance,Treasury,Travel and Training,Dues & Subscriptions,1000.00,General Fund
2011,General Government,Finance,Information Technology Department,Salaries and Wages,Dental Insurance,22230.00,General Fund
2011,General Government,Finance,Information Technology Department,Salaries and Wages,Health Insurance,340590.00,General Fund
2011,General Government,Finance,Information Technology Department,Salaries and Wages,Longevity Salaries\Wages,4000.00,General Fund
2011,General Government,Finance,Information Technology Department,Salaries and Wages,Medicare,23145.00,General Fund
2011,General Government,Finance,Information Technology Department,Salaries and Wages,Misc. Additional Comp,21000.00,General Fund
2011,General Government,Finance,Information Technology Department,Salaries and Wages,Pensions,161500.00,General Fund
2011,General Government,Finance,Information Technology Department,Salaries and Wages,Permanent Salaries/Wages,1825735.00,General Fund
2011,General Government,Finance,Information Technology Department,Salaries and Wages,Temporary Salaries/Wages,55000.00,General Fund
2011,General Government,Finance,Information Technology Department,Other Ordinary Maintenance,Administration & Gen Supplies,67085.00,General Fund
2011,General Government,Finance,Information Technology Department,Other Ordinary Maintenance,Communication,90000.00,General Fund
2011,General Government,Finance,Information Technology Department,Other Ordinary Maintenance,Other Purchased Services,17000.00,General Fund
2011,General Government,Finance,Information Technology Department,Other Ordinary Maintenance,Other Supplies,42250.00,General Fund
2011,General Government,Finance,Information Technology Department,Other Ordinary Maintenance,Professional and Technical Services,72300.00,General Fund
2011,General Government,Finance,Information Technology Department,Other Ordinary Maintenance,Repairs and Maint - Services,768870.00,General Fund
2011,General Government,Finance,Information Technology Department,Travel and Training,Dues & Subscriptions,955.00,General Fund
2011,General Government,Finance,Information Technology Department,Travel and Training,Travel and Training  (Out of State),5000.00,General Fund
2011,General Government,Finance,Information Technology Department,Travel and Training,Travel and Training  (In State),32245.00,General Fund
2011,General Government,Finance,Information Technology Department,Extraordinary Expenditures,Additional Equipment,60000.00,General Fund
2011,General Government,General Services,Telephone,Other Ordinary Maintenance,Communication,301820.00,General Fund
2011,General Government,General Services,Telephone,Other Ordinary Maintenance,Repairs and Maint - Supplies,10000.00,General Fund
2011,General Government,General Services,Mailing,Salaries and Wages,Dental Insurance,1370.00,General Fund
2011,General Government,General Services,Mailing,Salaries and Wages,Health Insurance,8110.00,General Fund
2011,General Government,General Services,Mailing,Salaries and Wages,Longevity Salaries\Wages,2000.00,General Fund
2011,General Government,General Services,Mailing,Salaries and Wages,Misc. Additional Comp,775.00,General Fund
2011,General Government,General Services,Mailing,Salaries and Wages,Pensions,8500.00,General Fund
2011,General Government,General Services,Mailing,Salaries and Wages,Permanent Salaries/Wages,36630.00,General Fund
2011,General Government,General Services,Mailing,Other Ordinary Maintenance,Communication,203620.00,General Fund
2011,General Government,General Services,Mailing,Other Ordinary Maintenance,Rentals and Leases,5830.00,General Fund
2011,General Government,General Services,Printing,Salaries and Wages,Dental Insurance,3910.00,General Fund
2011,General Government,General Services,Printing,Salaries and Wages,Health Insurance,39300.00,General Fund
2011,General Government,General Services,Printing,Salaries and Wages,Longevity Salaries\Wages,4000.00,General Fund
2011,General Government,General Services,Printing,Salaries and Wages,Medicare,695.00,General Fund
2011,General Government,General Services,Printing,Salaries and Wages,Misc. Additional Comp,2550.00,General Fund
2011,General Government,General Services,Printing,Salaries and Wages,Pensions,25500.00,General Fund
2011,General Government,General Services,Printing,Salaries and Wages,Permanent Salaries/Wages,180575.00,General Fund
2011,General Government,Law,Legal Counsel & Damages,Salaries and Wages,Dental Insurance,13270.00,General Fund
2011,General Government,Law,Legal Counsel & Damages,Salaries and Wages,Health Insurance,210720.00,General Fund
2011,General Government,Law,Legal Counsel & Damages,Salaries and Wages,Medicare,12320.00,General Fund
2011,General Government,Law,Legal Counsel & Damages,Salaries and Wages,Misc. Additional Comp,9825.00,General Fund
2011,General Government,Law,Legal Counsel & Damages,Salaries and Wages,Pensions,93500.00,General Fund
2011,General Government,Law,Legal Counsel & Damages,Salaries and Wages,Permanent Salaries/Wages,987080.00,General Fund
2011,General Government,Law,Legal Counsel & Damages,Other Ordinary Maintenance,Administration & Gen Supplies,7600.00,General Fund
2011,General Government,Law,Legal Counsel & Damages,Other Ordinary Maintenance,Communication,6000.00,General Fund
2011,General Government,Law,Legal Counsel & Damages,Other Ordinary Maintenance,Other Purchased Services,5000.00,General Fund
2011,General Government,Law,Legal Counsel & Damages,Other Ordinary Maintenance,Other Supplies,50000.00,General Fund
2011,General Government,Law,Legal Counsel & Damages,Other Ordinary Maintenance,Professional and Technical Services,438355.00,General Fund
2011,General Government,Law,Legal Counsel & Damages,Other Ordinary Maintenance,Repairs and Maint - Supplies,1700.00,General Fund
2011,General Government,Law,Legal Counsel & Damages,Travel and Training,Dues & Subscriptions,5000.00,General Fund
2011,General Government,Law,Legal Counsel & Damages,Travel and Training,Judgments,200000.00,General Fund
2011,General Government,Law,Legal Counsel & Damages,Travel and Training,Travel and Training  (Out of State),2305.00,General Fund
2011,General Government,Law,Legal Counsel & Damages,Travel and Training,Travel and Training  (In State),2940.00,General Fund
2011,General Government,Mayor,Administration,Salaries and Wages,Dental Insurance,5850.00,General Fund
2011,General Government,Mayor,Administration,Salaries and Wages,Health Insurance,50410.00,General Fund
2011,General Government,Mayor,Administration,Salaries and Wages,Medicare,4180.00,General Fund
2011,General Government,Mayor,Administration,Salaries and Wages,Misc. Additional Comp,5535.00,General Fund
2011,General Government,Mayor,Administration,Salaries and Wages,Pensions,42500.00,General Fund
2011,General Government,Mayor,Administration,Salaries and Wages,Permanent Salaries/Wages,288290.00,General Fund
2011,General Government,Mayor,Administration,Salaries and Wages,Temporary Salaries/Wages,3000.00,General Fund
2011,General Government,Mayor,Administration,Other Ordinary Maintenance,Administration & Gen Supplies,40380.00,General Fund
2011,General Government,Mayor,Administration,Other Ordinary Maintenance,Communication,3000.00,General Fund
2011,General Government,Mayor,Administration,Other Ordinary Maintenance,Food and Food Service Supplies,25000.00,General Fund
2011,General Government,Mayor,Administration,Other Ordinary Maintenance,Other Supplies,40060.00,General Fund
2011,General Government,Mayor,Administration,Other Ordinary Maintenance,Professional and Technical Services,2690.00,General Fund
2011,General Government,Mayor,Administration,Travel and Training,Dues & Subscriptions,14500.00,General Fund
2011,General Government,Mayor,Administration,Travel and Training,Travel and Training  (Out of State),14500.00,General Fund
2011,General Government,Mayor,Administration,Travel and Training,Travel and Training  (In State),500.00,General Fund
2011,General Government,Public Celebrations,Public Celebrations,Salaries and Wages,Dental Insurance,4680.00,General Fund
2011,General Government,Public Celebrations,Public Celebrations,Salaries and Wages,Health Insurance,62380.00,General Fund
2011,General Government,Public Celebrations,Public Celebrations,Salaries and Wages,Medicare,4080.00,General Fund
2011,General Government,Public Celebrations,Public Celebrations,Salaries and Wages,Misc. Additional Comp,4000.00,General Fund
2011,General Government,Public Celebrations,Public Celebrations,Salaries and Wages,Pensions,34000.00,General Fund
2011,General Government,Public Celebrations,Public Celebrations,Salaries and Wages,Permanent Salaries/Wages,271880.00,General Fund
2011,General Government,Public Celebrations,Public Celebrations,Salaries and Wages,Temporary Salaries/Wages,9275.00,General Fund
2011,General Government,Public Celebrations,Public Celebrations,Other Ordinary Maintenance,Administration & Gen Supplies,8450.00,General Fund
2011,General Government,Public Celebrations,Public Celebrations,Other Ordinary Maintenance,Communication,5000.00,General Fund
2011,General Government,Public Celebrations,Public Celebrations,Other Ordinary Maintenance,Food and Food Service Supplies,150.00,General Fund
2011,General Government,Public Celebrations,Public Celebrations,Other Ordinary Maintenance,Other Property Related Services,15000.00,General Fund
2011,General Government,Public Celebrations,Public Celebrations,Other Ordinary Maintenance,Other Purchased Services,104000.00,General Fund
2011,General Government,Public Celebrations,Public Celebrations,Other Ordinary Maintenance,Other Supplies,150.00,General Fund
2011,General Government,Public Celebrations,Public Celebrations,Other Ordinary Maintenance,Professional and Technical Services,238150.00,General Fund
2011,General Government,Public Celebrations,Public Celebrations,Travel and Training,Dues & Subscriptions,490.00,General Fund
2011,General Government,Public Celebrations,Public Celebrations,Travel and Training,Travel and Training  (Out of State),635.00,General Fund
2011,General Government,Reserve,Reserve,Other Ordinary Maintenance,Other Supplies,37500.00,General Fund
2011,Public Safety,Animal Commission,Administration,Salaries and Wages,Dental Insurance,3510.00,General Fund
2011,Public Safety,Animal Commission,Administration,Salaries and Wages,Health Insurance,46160.00,General Fund
2011,Public Safety,Animal Commission,Administration,Salaries and Wages,Medicare,1540.00,General Fund
2011,Public Safety,Animal Commission,Administration,Salaries and Wages,Misc. Additional Comp,3000.00,General Fund
2011,Public Safety,Animal Commission,Administration,Salaries and Wages,Overtime Salaries/Wages,1200.00,General Fund
2011,Public Safety,Animal Commission,Administration,Salaries and Wages,Pensions,25500.00,General Fund
2011,Public Safety,Animal Commission,Administration,Salaries and Wages,Permanent Salaries/Wages,187805.00,General Fund
2011,Public Safety,Animal Commission,Administration,Other Ordinary Maintenance,Administration & Gen Supplies,2685.00,General Fund
2011,Public Safety,Animal Commission,Administration,Other Ordinary Maintenance,Communication,2600.00,General Fund
